,bioprocess_count,genes_related
RESPONSE TO ACTIVITY,11,"['TNF', 'CXCL8', 'LEP', 'CAT', 'IL6', 'IL6', 'TP53', 'TH', 'IL10', 'MTOR', 'PTEN']"
NOCICEPTION,11,"['TNF', 'ANO1', 'CCL2', 'VIP', 'IL5', 'IL6', 'MAPK1', 'PTGS2', 'MAPK3', 'SST', 'PPIB']"
LIVER REGENERATION,11,"['TNF', 'INS', 'FAS', 'HFE', 'EGFR', 'IL6', 'IL6', 'STAT3', 'IL10', 'MAPK3', 'CCND1']"
MACROPHAGE CELL DIFFERENTIATION,11,"['TNF', 'PTH', 'IL4', 'IL5', 'VEGFA', 'MAPK1', 'CD4', 'MMP9', 'PTGS2', 'PPIB', 'IFNG']"
HISTONE MODIFICATION,11,"['TNF', 'IL4', 'IL5', 'NOD2', 'IL6', 'TP53', 'TH', 'CD4', 'CCND1', 'CTLA4', 'PPIB']"
POSITIVE REGULATION OF DNA BINDING TRANSCRIPTION FACTOR ACTIVITY,11,"['TNF', 'IL1B', 'AKT1', 'IL5', 'PPARG', 'SMAD3', 'IL6', 'ESR1', 'IL10', 'KIT', 'PTEN']"
COMPLEMENT ACTIVATION,11,"['CXCL8', 'C3', 'C3', 'C3', 'C3', 'NOD2', 'CD4', 'MAPK3', 'ITGAM', 'CTLA4', 'PPIB']"
LUTEAL PHASE,11,"['LEP', 'INS', 'TTR', 'REN', 'ABCC8', 'NLRP3', 'POMC', 'EGF', 'CD44', 'SLC17A5', 'TG']"
CIRCADIAN PROCESS,11,"['LEP', 'LEP', 'INS', 'VIP', 'IL5', 'EGFR', 'NOS2', 'TH', 'ESR1', 'PPIB', 'TG']"
BLOOD PRESSURE HOMEOSTASIS,11,"['LEP', 'INS', 'REN', 'REN', 'PPARG', 'SOD1', 'POMC', 'PTGS2', 'SOD2', 'ACE', 'ACE']"
T CELL DEVELOPMENT,11,"['LEP', 'IL2', 'IL4', 'NOD2', 'NOS2', 'TH', 'CD4', 'CD4', 'CTLA4', 'KIT', 'KIT']"
FATTY ACID METABOLIC PROCESS,11,"['INS', 'C3', 'C3', 'PPARG', 'PPARG', 'TH', 'PTGS2', 'WDTC1', 'PPARA', 'GRK2', 'PPIB']"
PROTEASOMAL PATHWAY,11,"['INS', 'AKT1', 'EGFR', 'MAPK1', 'TH', 'MTOR', 'PSMB6', 'PSMB6', 'PSMB6', 'PPIB', 'BBS9']"
HEARING,11,"['INS', 'SLC9A3R1', 'HP', 'SLC26A4', 'TH', 'SOD1', 'MAPK8', 'CISH', 'CASP3', 'CASP3', 'PPIB']"
SEGMENTATION,11,"['FAS', 'TTR', 'C3', 'DNAH5', 'NOD2', 'TH', 'CD4', 'PSMB6', 'CTLA4', 'PPIB', 'TG']"
CHAPERONE ACTIVITY,11,"['FAS', 'SLC9A3R1', 'HFE', 'AHSA1', 'TP53', 'MAPK3', 'CD40', 'PPIG', 'PSMB6', 'CREBBP', 'PPIB']"
PEPTIDYL-SERINE PHOSPHORYLATION,11,"['AKT1', 'AKT1', 'AKT1', 'MAPK1', 'MAPK8', 'MAPK3', 'BCL2', 'MTOR', 'MTOR', 'MTOR', 'GRK2']"
SENSE OF SIGHT,11,"['SLURP1', 'SLC26A4', 'TH', 'AR', 'CDKN1A', 'CP', 'RHO', 'TCEAL1', 'SLC17A5', 'PPIB', 'BBS9']"
TRANSCRIPTION INITIATION FROM POL II PROMOTER,11,"['NR3C1', 'PPARG', 'AR', 'CDKN1A', 'ESR1', 'BAX', 'CCND1', 'PPARA', 'CREBBP', 'PGR', 'PTEN']"
FLIGHT,11,"['TTR', 'PI3', 'C3', 'NOD2', 'CISH', 'HGS', 'GC', 'CTLA4', 'PPIB', 'BBS9', 'TG']"
RELEASE OF CYTOCHROME C FROM MITOCHONDRIA,11,"['TP53', 'BAX', 'BAX', 'BAX', 'CASP3', 'BCL2', 'BCL2', 'BCL2', 'CCK', 'PPIB', 'SOD2']"
MAST CELL PROLIFERATION,10,"['TGFB1', 'AKT1', 'IL4', 'PI3', 'TH', 'MAPK8', 'IL10', 'PPIB', 'KIT', 'KIT']"
PLATELET DEGRANULATION,10,"['TGFB1', 'SERPINA1', 'SERPINA1', 'TIMP1', 'ALB', 'ANXA5', 'VEGFA', 'SOD1', 'EGF', 'PPIB']"
LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY,10,"['TGFB1', 'TNF', 'IL1B', 'TLR4', 'CCL2', 'BPI', 'AKT1', 'LY96', 'MAPK1', 'MAPK3']"
IMMUNE CELL MIGRATION,10,"['TGFB1', 'CCL2', 'IFNA1', 'SERPINA1', 'F2', 'PIK3CA', 'RHO', 'ITGAM', 'CD44', 'APOB']"
DEFENCE RESPONSE TO GRAM-POSITIVE BACTERIA,10,"['CAMP', 'CAMP', 'TNF', 'DEFB1', 'DEFB1', 'DEFB1', 'DEFB4A', 'CRP', 'NLRP3', 'IL6']"
CELLULAR SENESCENCE,10,"['TNF', 'CCL2', 'NR3C1', 'REN', 'TP53', 'CDKN1A', 'CDKN1A', 'TCEAL1', 'PPIB', 'PTEN']"
IL-23 PRODUCTION,10,"['TNF', 'AKT1', 'NOD2', 'IL6', 'CD4', 'PTGS2', 'IL10', 'PIK3CA', 'ITGAM', 'CTLA4']"
MRNA STABILIZATION,10,"['TNF', 'INS', 'VIP', 'AKT1', 'IL2', 'IL4', 'MTOR', 'MTOR', 'PSMB6', 'PPIB']"
MONOCYTE ACTIVATION,10,"['TNF', 'CXCR1', 'CXCL8', 'TLR4', 'CCL2', 'IFNA1', 'CXCR2', 'TH', 'CD4', 'PPIB']"
T-HELPER 1 TYPE IMMUNE RESPONSE,10,"['TNF', 'TLR4', 'IFNA1', 'IL2', 'IL4', 'IL6', 'TH', 'CD4', 'IL10', 'KIT']"
ANIMAL ORGAN DEVELOPMENT,10,"['TNF', 'SLURP1', 'IL4', 'EGFR', 'TH', 'CD4', 'AR', 'EGF', 'AHR', 'PSMB6']"
EXTRACELLULAR MATRIX ORGANISATION,10,"['TNF', 'TTR', 'C3', 'IL6', 'VEGFA', 'MMP9', 'PTGS2', 'MMP2', 'ITGAM', 'CD44']"
POSITIVE REGULATION OF IL-1 BETA PRODUCTION,10,"['TNF', 'TLR4', 'NOD2', 'NOD2', 'SMAD3', 'NLRP3', 'NLRP3', 'IL6', 'STAT3', 'IFNG']"
POSITIVE REGULATION OF IL-6 PRODUCTION,10,"['TNF', 'TNF', 'IL1B', 'IL1B', 'TLR4', 'TLR4', 'NOD2', 'IL6', 'STAT3', 'IFNG']"
POSITIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA JAK-STAT,10,"['TNF', 'LEP', 'LEP', 'IL5', 'F2', 'IL6', 'IL6', 'IL10', 'KIT', 'KIT']"
METABOLIC BURST,10,"['CA2', 'CCL2', 'CAT', 'MPO', 'PRTN3', 'IL6', 'TH', 'HGS', 'PPIB', 'PGR']"
ACTION POTENTIAL,10,"['CA2', 'ANO1', 'NOD2', 'NLRP3', 'TH', 'MMP9', 'AR', 'SST', 'CTLA4', 'PPIB']"
OLFACTION,10,"['LEP', 'INS', 'SLC26A4', 'MAPK1', 'TH', 'POMC', 'IL10', 'CASP3', 'MTOR', 'PSMB6']"
GLUCONEOGENESIS,10,"['LEP', 'INS', 'FAS', 'AKT1', 'MAL', 'PIK3CA', 'GPI', 'GPI', 'MTOR', 'PPIB']"
EATING BEHAVIOR,10,"['LEP', 'INS', 'PRTN3', 'SLC26A4', 'PPARG', 'TH', 'STAT3', 'HGS', 'CCK', 'TG']"
EAR DEVELOPMENT,10,"['INS', 'IL4', 'IL5', 'MAPK1', 'TH', 'BCL2', 'HGS', 'GC', 'PPIB', 'BBS9']"
"REGULATION OF CELLULAR TRANSCRIPTION, DNA-DEPENDENT",10,"['INS', 'NR3C1', 'TP53', 'TP53', 'ESR1', 'RELA', 'STAT3', 'AHR', 'CREBBP', 'HIF1A']"
BLOOD CIRCULATION,10,"['FAS', 'IFNA1', 'TTR', 'ALB', 'NOD2', 'TH', 'BCL2', 'CTLA4', 'PPIB', 'ACE']"
ANTIMICROBIAL PEPTIDE ACTIVITY,10,"['CAT', 'HP', 'MPO', 'KCNN4', 'NOD2', 'NLRP3', 'STAT3', 'PPIB', 'PGR', 'TG']"
OPSONIZATION,10,"['CAT', 'C3', 'CRP', 'NOD2', 'CD4', 'CISH', 'PTS', 'ITGAM', 'CTLA4', 'PPIB']"
BIOPOLYMERISATION,10,"['AKT1', 'EGFR', 'F2', 'RELA', 'PTGS2', 'CISH', 'PIK3CA', 'MTOR', 'PSMB6', 'PPIB']"
APOPTOSIS IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS,10,"['AKT1', 'NLRP3', 'TP53', 'MAPK1', 'MAPK8', 'BAX', 'BAX', 'PIK3CA', 'BCL2', 'BCL2']"
DNA REPLICATION,10,"['AHSA1', 'SLC26A4', 'VEGFA', 'TP53', 'MAPK1', 'FOS', 'CDKN1A', 'CCND1', 'TCEAL1', 'PTEN']"
EGF RECEPTOR SIGNALING PATHWAY,9,"['TGFB1', 'AKT1', 'EGFR', 'EGFR', 'EGFR', 'EGFR', 'PIK3CA', 'EGF', 'EGF']"
POSITIVE REGULATION OF MAP KINASE ACTIVITY,9,"['TGFB1', 'ELANE', 'TNF', 'EGFR', 'NOD2', 'VEGFA', 'EGF', 'CD40', 'KIT']"
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION,9,"['TGFB1', 'IL5', 'IL6', 'VEGFA', 'TP53', 'CD4', 'MTOR', 'CD44', 'CCK']"
PROTEIN SECRETION,9,"['CAMP', 'TNF', 'INS', 'PTH', 'AKT1', 'IL4', 'VEGFA', 'CD4', 'PPIB']"
ANTIMICROBIAL HUMORAL RESPONSE,9,"['CAMP', 'ELANE', 'BPI', 'DEFB1', 'DEFB4A', 'CTSG', 'PRTN3', 'PI3', 'BPIFB1']"
EXPORT FROM NUCLEUS,9,"['ELANE', 'AKT1', 'IL4', 'NR3C1', 'TP53', 'MTOR', 'CCND1', 'PPIB', 'HIF1A']"
EXTRACELLULAR MATRIX DISASSEMBLY,9,"['ELANE', 'GSN', 'CTSG', 'TIMP1', 'PRSS1', 'MMP9', 'MMP2', 'CD44', 'PPIB']"
SPORULATION,9,"['SCNN1B', 'SLURP1', 'TTR', 'LPO', 'AR', 'GC', 'PSMB6', 'PPIB', 'TG']"
POSITIVE REGULATION OF INFLAMMATORY RESPONSE,9,"['TNFRSF1A', 'TNF', 'IL1B', 'TLR4', 'TLR4', 'CCL2', 'IL2', 'EGFR', 'IFNG']"
GO:0072604,9,"['TNF', 'TLR4', 'IL6', 'TP53', 'TH', 'STAT3', 'PIK3CA', 'PPIB', 'KIT']"
GO:0072608,9,"['TNF', 'IL2', 'IL4', 'IL5', 'TH', 'CD4', 'IL10', 'PSMB6', 'PPIB']"
ADCC,9,"['TNF', 'INS', 'IFNA1', 'C3', 'IL6', 'CD4', 'ITGAM', 'CTLA4', 'PPIB']"
CARTILAGE BIOGENESIS,9,"['TNF', 'AKT1', 'TIMP1', 'SMAD3', 'MAPK3', 'CD44', 'CREBBP', 'PPIB', 'HIF1A']"
IFN-EPSILON PRODUCTION,9,"['TNF', 'TLR4', 'IFNA1', 'NOD2', 'IL6', 'TH', 'CD4', 'CTLA4', 'PPIB']"
ACTIN FILAMENT POLYMERIZATION,9,"['TNF', 'CA2', 'GSN', 'GSN', 'AHSA1', 'NOD2', 'PIK3CA', 'PSMB6', 'CTLA4']"
IFN-ALPHA PRODUCTION,9,"['TNF', 'TLR4', 'IFNA1', 'NOD2', 'IL6', 'TH', 'CD4', 'CTLA4', 'PPIB']"
CARBOHYDRATE METABOLIC PROCESS,9,"['TNF', 'INS', 'FAS', 'NLRP3', 'GPI', 'HGS', 'PPIB', 'PGR', 'HIF1A']"
PROGRAMMED CELL DEATH OF T CELLS BY APOPTOSIS,9,"['TNF', 'FAS', 'IL4', 'NOD2', 'IL6', 'CD4', 'IL10', 'CTLA4', 'BBS9']"
ENERGY HOMEOSTASIS,9,"['TNF', 'LEP', 'INS', 'POMC', 'STAT3', 'PIK3CA', 'PIK3CA', 'CCK', 'BBS9']"
LYMPHOCYTE PROLIFERATION,9,"['TNF', 'IFNA1', 'IL2', 'IL4', 'IL5', 'NOD2', 'TH', 'CCK', 'CTLA4']"
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE CASCADE,9,"['TNF', 'LEP', 'LEP', 'LEP', 'INS', 'CAT', 'F2', 'PIK3CA', 'KIT']"
ASTROCYTE ACTIVATION,9,"['TNF', 'IL1B', 'IL1B', 'TLR4', 'EGFR', 'ALB', 'MTOR', 'IFNG', 'IFNG']"
RESPONSE TO GLUCOCORTICOID,9,"['TNF', 'IL6', 'CD4', 'PTGS2', 'IL10', 'IL10', 'CASP3', 'BCL2', 'PPIB']"
CHEMICAL SYNAPTIC TRANSMISSION,9,"['CA2', 'INS', 'TTR', 'MAPK1', 'CDKN1A', 'SST', 'SST', 'TCEAL1', 'PPIB']"
NEGATIVE REGULATION OF AUTOPHAGY,9,"['LEP', 'AKT1', 'STAT3', 'IL10', 'BCL2', 'MTOR', 'MTOR', 'MTOR', 'MTOR']"
POSITIVE REGULATION OF B CELL PROLIFERATION,9,"['TLR4', 'TLR4', 'IL2', 'IL4', 'IL5', 'CDKN1A', 'BCL2', 'CD40', 'PPIB']"
ERYTHROCYTE CELL DIFFERENTIATION,9,"['FAS', 'IL5', 'RELA', 'CASP3', 'CASP3', 'CASP3', 'CD40', 'PPIB', 'KIT']"
BLOOD CELL BIOSYNTHESIS,9,"['CCL2', 'IL2', 'IL4', 'TH', 'IL10', 'PSMB6', 'PPIB', 'KIT', 'KIT']"
ANATOMICAL STRUCTURE MORPHOGENESIS,9,"['CCL2', 'SMAD3', 'IL6', 'TH', 'MAPK3', 'EGF', 'HGS', 'CREBBP', 'PPIB']"
RESPONSE TO BACTERIA,9,"['CCL2', 'DEFB1', 'DEFB1', 'C3', 'NOS2', 'TH', 'SLC17A5', 'PPIB', 'CYP2E1']"
IL-22 PRODUCTION,9,"['IFNA1', 'NOD2', 'IL6', 'TH', 'CD4', 'AHR', 'CD44', 'CTLA4', 'PPIB']"
B CELL PROLIFERATION,9,"['IFNA1', 'IL2', 'IL4', 'NOD2', 'IL10', 'BCL2', 'CD40', 'CTLA4', 'PPIB']"
CELLULAR RESPONSE TO CADMIUM,9,"['GSN', 'AKT1', 'EGFR', 'MAPK1', 'FOS', 'SOD1', 'MMP9', 'MAPK8', 'MAPK3']"
CELLULAR RESPONSE TO ACTIVE OXYGEN SPECIES,9,"['AKT1', 'EGFR', 'MAPK1', 'FOS', 'FOS', 'MMP9', 'MAPK8', 'MMP2', 'MAPK3']"
HATCHING,9,"['SLURP1', 'IL4', 'IL5', 'F2', 'AR', 'MAPK8', 'CREBBP', 'SLC17A5', 'PPIB']"
ENDOTHELIAL CELL PROLIFERATION,9,"['SLURP1', 'SCT', 'NOS2', 'VEGFA', 'MAPK1', 'AR', 'MAPK3', 'CCND1', 'PPIB']"
BRAIN DEVELOPMENT,9,"['SCT', 'DNAH5', 'SLC26A4', 'TP53', 'FOS', 'POMC', 'MTOR', 'MTOR', 'PPIB']"
TYPE 2 IMMUNE RESPONSE,9,"['IL4', 'IL4', 'IL5', 'TH', 'CD4', 'IL10', 'PPIB', 'BBS9', 'TG']"
OIS,9,"['TTR', 'NLRP3', 'TH', 'CD4', 'POMC', 'IL10', 'GC', 'PSMB6', 'PPIB']"
GENERATION OF SPERMATOZOA,9,"['TP53', 'SOD1', 'AR', 'PSMB6', 'PPIB', 'APOB', 'KIT', 'KIT', 'ACE']"
TGF-BETA RECEPTOR SIGNALING PATHWAY,8,"['TGFB1', 'TGFB1', 'TGFB1', 'SMAD3', 'SMAD3', 'SMAD3', 'TP53', 'FOS']"
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,8,"['TGFB1', 'IL1B', 'IL1B', 'C3', 'IL6', 'PTGS2', 'HIF1A', 'HIF1A']"
ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE,8,"['CAMP', 'CAMP', 'CXCL8', 'DEFB1', 'DEFB1', 'DEFB4A', 'F2', 'MUC7']"
PHOTOSYNTHESIS,8,"['ELANE', 'CAT', 'C3', 'SLC26A4', 'POMC', 'CISH', 'CP', 'PPIB']"
INTRASTRAND CROSS-LINK REPAIR,8,"['ELANE', 'CAT', 'SLURP1', 'TP53', 'AR', 'WDTC1', 'CP', 'HGS']"
NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY,8,"['SLPI', 'SERPINA1', 'SERPINA1', 'AKT1', 'TIMP1', 'TIMP1', 'PI3', 'C3']"
IL-2 PRODUCTION,8,"['TNF', 'AKT1', 'IL2', 'IL5', 'TH', 'RELA', 'PSMB6', 'CTLA4']"
MAST CELL MIGRATION,8,"['TNF', 'CCL2', 'AKT1', 'AHSA1', 'IL6', 'IL10', 'RHO', 'PPIB']"
TLR4 SIGNALING PATHWAY,8,"['TNF', 'TLR4', 'TLR4', 'LY96', 'LY96', 'IL10', 'ITGAM', 'PPIB']"
REGULATION OF INFLAMMATORY RESPONSE,8,"['TNF', 'INS', 'NOD2', 'ESR1', 'RELA', 'PTGS2', 'PIK3CA', 'PPIB']"
VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,8,"['TNF', 'IL1B', 'SCT', 'NOS2', 'IL6', 'PPIB', 'HIF1A', 'HIF1A']"
POSITIVE REGULATION OF NITRIC OXIDE ANABOLISM,8,"['TNF', 'IL1B', 'TLR4', 'AKT1', 'SMAD3', 'PTGS2', 'MTOR', 'IFNG']"
REGULATION OF INSULIN SECRETION,8,"['TNF', 'IL1B', 'LEP', 'INS', 'ABCC8', 'NOS2', 'IL6', 'IFNG']"
CELL-CELL SIGNALING,8,"['IL1B', 'INS', 'PTH', 'IL2', 'POMC', 'AR', 'SST', 'PGR']"
INNERVATION,8,"['CA2', 'INS', 'TH', 'PIK3CA', 'CCK', 'PSMB6', 'CREBBP', 'PPIB']"
CELLULAR HOMEOSTASIS,8,"['CA2', 'FAS', 'CCL2', 'CAT', 'NOD2', 'PIK3CA', 'MTOR', 'CTLA4']"
CELL CYCLE CONTROL,8,"['CA2', 'INS', 'AKT1', 'TP53', 'CDKN1A', 'CP', 'MTOR', 'TCEAL1']"
CELL LOCOMOTION,8,"['CA2', 'AKT1', 'EGFR', 'POMC', 'MAPK8', 'PTGS2', 'BBS9', 'PTEN']"
CELL LOCALIZATION,8,"['CA2', 'REN', 'NOD2', 'NLRP3', 'CD4', 'CTLA4', 'PPIB', 'KIT']"
REPRODUCTION,8,"['LEP', 'INS', 'TP53', 'POMC', 'ESR1', 'CISH', 'PPIB', 'PGR']"
LIPID HOMEOSTASIS,8,"['LEP', 'INS', 'AHSA1', 'PPARG', 'MAPK1', 'MAPK8', 'MTOR', 'TG']"
RESPONSE TO INSULIN,8,"['LEP', 'INS', 'CAT', 'AKT1', 'RELA', 'IL10', 'MTOR', 'PPARA']"
POSITIVE REGULATION OF MAP KINASE CASCADE,8,"['LEP', 'LEP', 'INS', 'IL6', 'CD4', 'AR', 'EGF', 'KIT']"
REGULATION OF ANGIOGENESIS,8,"['LEP', 'C3', 'IL6', 'IL6', 'VEGFA', 'EGF', 'PPIB', 'KIT']"
APOPTOTIC SIGNALING PATHWAY,8,"['TLR4', 'FAS', 'LY96', 'BAX', 'CASP3', 'CASP3', 'ITGAM', 'PPIB']"
GASTRIC EMPTYING,8,"['INS', 'ALB', 'NOS2', 'POMC', 'CISH', 'PIK3CA', 'CCK', 'KIT']"
TRANSDIFFERENTIATION,8,"['INS', 'AKT1', 'AHSA1', 'SMAD3', 'IL6', 'TH', 'EGF', 'PPIB']"
MITOCHONDRIAL FUSION,8,"['INS', 'NR3C1', 'PPARG', 'BAX', 'BAX', 'STAT3', 'GRK2', 'PPIB']"
APOPTOSIS REGULATOR ACTIVITY,8,"['FAS', 'FAS', 'AKT1', 'TP53', 'TP53', 'ESR1', 'BAX', 'CREBBP']"
IMMUNE CELL ACTIVATION,8,"['IFNA1', 'C3', 'NOD2', 'IL6', 'TH', 'IL10', 'PIK3CA', 'CTLA4']"
MATING,8,"['IFNA1', 'CTSG', 'KCNN4', 'TH', 'IL10', 'PSMB6', 'PPIB', 'TG']"
BONE REMODELING,8,"['PTH', 'C3', 'REN', 'IL6', 'VEGFA', 'TH', 'MMP2', 'PPIB']"
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION,8,"['VIP', 'AKT1', 'VEGFA', 'VEGFA', 'VEGFA', 'IL10', 'MTOR', 'HIF1A']"
NITRIC OXIDE ANABOLISM,8,"['AKT1', 'NOD2', 'NOS2', 'NOS2', 'NOS2', 'PSMB6', 'CTLA4', 'PPIB']"
WATER TRANSPORT,8,"['AQP2', 'AQP2', 'AQP2', 'AQP2', 'AQP5', 'AQP5', 'AQP5', 'PPIB']"
CELL AGEING,8,"['AHSA1', 'PI3', 'TP53', 'MAPK1', 'SOD1', 'MAPK8', 'BCL2', 'MTOR']"
RESPONSE TO CYTOKINE,8,"['TIMP1', 'C3', 'IL6', 'VEGFA', 'RELA', 'PTGS2', 'CISH', 'BCL2']"
CHROMATIN MODELING,8,"['IL5', 'TH', 'CD4', 'ESR1', 'STAT3', 'PIK3CA', 'CREBBP', 'PGR']"
COLLAGEN BREAKDOWN,8,"['PRTN3', 'MMP9', 'MMP9', 'MMP9', 'MMP2', 'MMP2', 'MMP2', 'PPIB']"
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION,8,"['TTR', 'WDTC1', 'HGS', 'PSMB6', 'CREBBP', 'PPIB', 'BBS9', 'PTEN']"
HEMOSTASIS,8,"['TTR', 'TH', 'POMC', 'CISH', 'GPI', 'HGS', 'PPIB', 'PGR']"
RESPONSE TO TOXIC SUBSTANCE,8,"['GUCY2C', 'MAPK1', 'FOS', 'CDKN1A', 'BAX', 'MAPK3', 'BCL2', 'AHR']"
DRUG METABOLIC PROCESS,8,"['CYP3A4', 'CYP3A4', 'CP', 'ABCB1', 'AHR', 'CYP2E1', 'CYP2E1', 'CYP2E1']"
BICARBONATE TRANSPORT,7,"['CFTR', 'CFTR', 'CA2', 'SLC26A9', 'SLC26A3', 'C3', 'SLC26A4']"
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,7,"['TGFB1', 'TGFB1', 'IL1B', 'SMAD3', 'SMAD3', 'IL6', 'MTOR']"
POSITIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION,7,"['TGFB1', 'AKT1', 'VEGFA', 'VEGFA', 'CD40', 'CD40', 'HIF1A']"
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND,7,"['TGFB1', 'TNF', 'IL1B', 'CCL2', 'AKT1', 'NOD2', 'STAT3']"
EXTRINSIC APOPTOTIC PATHWAY,7,"['TGFB1', 'TNF', 'TLR4', 'FAS', 'SMAD3', 'BAX', 'IFNG']"
INNATE IMMUNE RESPONSE IN MUCOSA,7,"['CAMP', 'DEFB1', 'DEFB1', 'IL4', 'BPIFB1', 'BPIFB1', 'NOS2']"
ANTIBACTERIAL HUMORAL RESPONSE,7,"['CAMP', 'SLPI', 'SLPI', 'SLPI', 'DEFB1', 'CTSG', 'PI3']"
ANIMAL ORGAN MATURATION,7,"['ELANE', 'FAS', 'ABCC8', 'POMC', 'CISH', 'CP', 'GC']"
POSITIVE REGULATION OF SMC PROLIFERATION,7,"['ELANE', 'TNF', 'AKT1', 'EGFR', 'IL6', 'PTGS2', 'MTOR']"
SODIUM ION MEMBRANE TRANSPORT,7,"['SCNN1B', 'SCNN1B', 'SCNN1G', 'SCNN1G', 'SCNN1A', 'SCNN1A', 'SLC12A2']"
DOWN REGULATION OF PROTEIN BINDING,7,"['SLPI', 'AKT1', 'MAPK8', 'CDKN1A', 'BAX', 'PPARA', 'ACE']"
IL-1 BETA PRODUCTION,7,"['TNF', 'IL1B', 'IL1B', 'TLR4', 'NLRP3', 'IL6', 'PIK3CA']"
NEUTROPHIL MIGRATION,7,"['TNF', 'TLR4', 'CXCR2', 'PTGS2', 'PIK3CA', 'ITGAM', 'PPIB']"
C-JUN N-TERMINAL KINASE CASCADE,7,"['TNF', 'TNF', 'NOD2', 'MAPK8', 'MAPK8', 'MAPK8', 'MAPK8']"
PORE BIOSYNTHESIS,7,"['TNF', 'CA2', 'IL4', 'NLRP3', 'BAX', 'BCL2', 'PPIB']"
MEMBRANE DEPOLARIZATION,7,"['TNF', 'CA2', 'ANO1', 'INS', 'SLC26A4', 'PSMB6', 'PPIB']"
MACROPHAGE PROLIFERATION,7,"['TNF', 'IL4', 'IL6', 'TH', 'CDKN1A', 'TCEAL1', 'PPIB']"
RESPONSE TO TNF,7,"['TNF', 'RELA', 'PTGS2', 'CP', 'CASP3', 'HGS', 'PPIB']"
MICROGLIAL CELL ACTIVATION,7,"['TNF', 'TNF', 'IL4', 'IL6', 'ITGAM', 'IFNG', 'IFNG']"
RESPONSE TO VIRUS,7,"['TNF', 'CXCL8', 'IFNA1', 'MUC5AC', 'PPIB', 'IFNG', 'APOB']"
POSITIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN INFLAMMATORY RESPONSE,7,"['TNF', 'TNF', 'TLR4', 'TLR4', 'NOD2', 'IL6', 'STAT3']"
ACTIVATION OF NON-CANONICAL NF-KB SIGNALING,7,"['TNF', 'IL1B', 'TLR4', 'EGFR', 'NOD2', 'RELA', 'RELA']"
STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY,7,"['MUC5B', 'MUC4', 'MUC5AC', 'RELA', 'MUC7', 'PSMB6', 'CREBBP']"
BLASTOCYST IMPLANTATION,7,"['IL1B', 'CA2', 'SOD1', 'SOD1', 'MMP9', 'PTGS2', 'MMP2']"
IL-1-MEDIATED SIGNALING PATHWAY,7,"['IL1B', 'IL1B', 'NOD2', 'RELA', 'RELA', 'MAPK3', 'PSMB6']"
DEPENDENCE RECEPTOR SIGNALING PATHWAY,7,"['IL1B', 'FAS', 'IL2', 'IL4', 'BAX', 'CASP3', 'BCL2']"
LUMEN FORMATION IN AN ANATOMICAL STRUCTURE,7,"['CA2', 'NOS2', 'VEGFA', 'MMP9', 'HGS', 'PPIB', 'KIT']"
PEPTIDYL-CYSTEINE S-NITROSYLATION,7,"['CA2', 'AKT1', 'CRP', 'NOS2', 'NOS2', 'NLRP3', 'RELA']"
APOPTOSIS OF NEURONAL CELLS,7,"['CA2', 'AHSA1', 'TP53', 'MAPK8', 'BAX', 'CASP3', 'BCL2']"
SMOOTH MUSCLE CONTRACTION,7,"['CA2', 'IL4', 'IL5', 'TH', 'CDKN1A', 'TCEAL1', 'PPIB']"
CALCIUM ION IMPORT,7,"['CA2', 'AKT1', 'EGFR', 'CISH', 'PIK3CA', 'BCL2', 'PPIB']"
AXON REGENERATION,7,"['CA2', 'INS', 'AKT1', 'MAPK1', 'BCL2', 'BCL2', 'PPIB']"
CELL CHEMOTAXIS,7,"['CXCR1', 'CXCL8', 'CCL2', 'DEFB4A', 'CXCR2', 'CRK', 'KIT']"
CELLULAR RESPONSE TO IL-1,7,"['CXCL8', 'CCL2', 'CCL2', 'CCL2', 'RELA', 'CD40', 'HIF1A']"
LIPID RETENTION,7,"['LEP', 'FAS', 'IL5', 'TH', 'MAPK8', 'PSMB6', 'PPIB']"
CELLULAR RESPONSE TO INSULIN STIMULUS,7,"['LEP', 'AKT1', 'AKT1', 'PPARG', 'PPARG', 'WDTC1', 'PTEN']"
